Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
13.5892,689000,18.61586945,FC-72,Pressure,0.004804714,8.8286625,0.000019,0.005,0.0007,12,0.000049,0.00064,0.057,1680
17.75193333,2000000,49.6,Water,Pressure,0.01653,8.5956,0.00052,0.1,0.008,7,0.000625,0.001,0.6,1000
19.142,500000,26.2,Water,Pressure,0.00796,8.1192,0.00102,0.1,0.008,7,0.000625,0.001,0.6,1000
20.0325,200000,17.2,Water,Pressure,0.00348,7.83,0.00225,0.2,0.008,7,0.000625,0.001,0.6,1000
13.31917895,483000,15.58645245,FC-72,Pressure,0.004242,7.794675,0.000023,0.005,0.0007,12,0.000049,0.00064,0.057,1680
22.92340961,400000,18.38477631,Water,Pressure,0.0106462,7.539340746,0.000708172,0.05,0.045,7,0.002,0.001,0.6,1000
25.45854035,207000,10.51768918,FC-72,Pressure,0.004025571,7.3969875,0.000058,0.005,0.0007,12,0.000049,0.00064,0.057,1680
32.29183717,256223.8649,13.12963885,Water,Pressure,0.005,7.06241,0.001412482,0.254,0.004708273,7,0.00005,0.001,0.6,1000
11.69606842,344000,13.15385151,FC-72,Pressure,0.003794714,6.9727875,0.000027,0.005,0.0007,12,0.000049,0.00064,0.057,1680
12.88118,1000000,36.1,Water,Pressure,0.01066,6.58788,0.000618,0.1,0.008,7,0.000625,0.001,0.6,1000
28.79719995,264609.3514,13.34275727,Water,Pressure,0.005,6.48012,0.001296024,0.254,0.00432008,7,0.00005,0.001,0.6,1000
17.42183333,2000000,49.6,Water,Pressure,0.00941,6.44585,0.000685,0.2,0.008,7,0.000625,0.001,0.6,1000
9.438196069,460000,15.77238092,Water,Pressure,0.047060302,6.278148548,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.368268847,460000,15.77238092,Water,Pressure,0.046554516,6.210673424,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
33.73152074,267404.5135,13.41304427,Water,Pressure,0.005,6.21,0.001242,0.254,0.00414,7,0.00005,0.001,0.6,1000
22.40895827,600000,22.5166605,Water,Pressure,0.0115996,6.147068825,0.000529938,0.05,0.045,7,0.002,0.001,0.6,1000
19.9395,500000,26.2,Water,Pressure,0.00453,6.1155,0.00135,0.2,0.008,7,0.000625,0.001,0.6,1000
9.241243659,460000,15.77238092,Water,Pressure,0.045640112,6.088685967,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.150193747,460000,15.77238092,Water,Pressure,0.04498817,6.001712684,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.112039498,460000,15.77238092,Water,Pressure,0.044715846,5.965382933,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
21.91321053,138000,8.587657256,FC-72,Pressure,0.003203143,5.885775,0.000065,0.005,0.0007,12,0.000049,0.00064,0.057,1680
12.44691151,400000,16.97056275,Water,Pressure,0.055,5.83,0.000106,0.00866,0.0003,7,0.0001,0.001,0.6,1000
9.133557384,360000,13.95306418,Water,Pressure,0.040915333,5.816140622,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.125715408,360000,13.95306418,Water,Pressure,0.040864298,5.808885891,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.930695644,460000,15.77238092,Water,Pressure,0.043428592,5.793654847,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
10.94705263,207000,10.20372831,FC-72,Pressure,0.003131,5.7532125,0.00003,0.005,0.0007,12,0.000049,0.00064,0.057,1680
9.029171435,360000,13.95306418,Water,Pressure,0.040237621,5.719803403,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
26.05698958,259019.027,13.20106062,Water,Pressure,0.005,5.69629,0.001139258,0.254,0.003797527,7,0.00005,0.001,0.6,1000
11.94999183,400000,16.97056275,Water,Pressure,0.053,5.671,0.000107,0.00866,0.0003,7,0.0001,0.001,0.6,1000
