Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
12.35723684,896000,20.57571384,FC-72,Pressure,0.2885714,5.3025,0.025,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
8.559221434,360000,13.95306418,Water,Pressure,3.7230713,5.292369477,0.142151,0.023,0.6,7,0.0004,0.001,0.6,10
8.736628113,260000,11.85782442,Water,Pressure,3.3935885,5.248222447,0.154651,0.023,0.6,7,0.0004,0.001,0.6,10
9.083209623,160000,9.302042786,Water,Pressure,2.9912728,5.245901074,0.175374,0.023,0.6,7,0.0004,0.001,0.6,10
8.682500223,260000,11.85782442,Water,Pressure,3.3630807,5.20104177,0.154651,0.023,0.6,7,0.0004,0.001,0.6,10
8.433726115,360000,13.95306418,Water,Pressure,3.6440159,5.179991817,0.142151,0.023,0.6,7,0.0004,0.001,0.6,10
8.621361482,260000,11.85782442,Water,Pressure,3.3287249,5.147910139,0.154651,0.023,0.6,7,0.0004,0.001,0.6,10
8.368123597,360000,13.95306418,Water,Pressure,3.602901,5.12154668,0.142151,0.023,0.6,7,0.0004,0.001,0.6,10
10.50863162,350000,15.87450787,Water,Pressure,4.6,5.106,0.111,0.00866,0.3,7,0.0001,0.001,0.6,10
25.33125725,261814.1892,13.27209804,Water,Pressure,0.5,5.08016,1.016032,0.254,3.386773,7,5.00E-05,0.001,0.6,10
14.7338,200000,17.2,Water,Pressure,0.36,4.968,1.38,0.1,8,7,0.000625,0.001,0.6,10
16.78845,1000000,36.1,Water,Pressure,0.601,4.96426,0.826,0.2,8,7,0.000625,0.001,0.6,10
25.145725,272000,15.16047493,Water,Pressure,3.6054422,4.957482993,0.55,0.0033,0.7,7,4.90E-05,0.001,0.6,10
18.13295,136000,10.72007463,Water,Pressure,3.6054422,4.957482993,0.55,0.0033,0.7,7,4.90E-05,0.001,0.6,10
8.722641618,160000,9.302042786,Water,Pressure,2.820296,4.946053001,0.175374,0.023,0.6,7,0.0004,0.001,0.6,10
8.385157679,260000,11.85782442,Water,Pressure,3.1970337,4.944248232,0.154651,0.023,0.6,7,0.0004,0.001,0.6,10
8.367579002,260000,11.85782442,Water,Pressure,3.1872995,4.929194154,0.154651,0.023,0.6,7,0.0004,0.001,0.6,10
10.172904,300000,14.69693846,Water,Pressure,4.4,4.928,0.112,0.00866,0.3,7,0.0001,0.001,0.6,10
