P,Fluid,um,Q,Re,Nu,dd,H,dn,Pr,At,mio,k,rho
258000,water,14.0836927,7.95682,0.397841,1.269483333,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
300000,water,15.18683641,9.5067,0.475335,1.500175,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
293000,water,15.00861086,7.74885,0.3874425,1.672933333,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
293000,water,15.00861086,9.91081,0.4955405,1.883675,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
307000,water,15.3629945,10.309,0.51545,1.111091667,5.00E+01,1.50E+01,1.00E+02,7,11.3411,1,0.6,1000
224000,water,13.1229265,11.6596,0.58298,1.207616667,5.00E+01,1.50E+01,1.00E+02,7,11.3411,1,0.6,1000
224000,water,13.1229265,13.1876,0.65938,1.328366667,5.00E+01,1.50E+01,1.00E+02,7,11.3411,1,0.6,1000
224000,water,13.1229265,15.3292,0.76646,1.478608333,5.00E+01,1.50E+01,1.00E+02,7,11.3411,1,0.6,1000
258000,water,14.0836927,18.3126,0.91563,1.665458333,5.00E+01,1.50E+01,1.00E+02,7,11.3411,1,0.6,1000
258000,water,14.0836927,23.1026,1.15513,1.830941667,5.00E+01,1.50E+01,1.00E+02,7,11.3411,1,0.6,1000
258000,water,14.0836927,26.4885,1.324425,1.989866667,5.00E+01,1.50E+01,1.00E+02,7,11.3411,1,0.6,1000
